,feature,pvalue,fold_change,mean_positive,mean_negative,phred,color
0,Tenure,7.317080089394227e-101,0.3839648743146838,4.375212224108659,11.39482415394824,100.13566219135288,low in churn
7,Complain,2.513199439566122e-50,2.338399842815616,0.5229202037351444,0.22362309223623092,49.599773045802095,high in churn
11,DaySinceLastOrder,5.668560635568827e-32,0.6498192037763689,3.089983022071307,4.755142667551427,31.246527203432862,low in churn
27,PreferedOrderCat_Mobile Phone,2.3287245628824714e-25,2.0236803653508275,0.3853989813242784,0.19044459190444593,24.63288187595404,high in churn
12,CashbackAmount,3.0715337378343944e-24,0.8884041651777514,160.3418336162988,180.48298274717982,23.512644710012385,low in churn
25,PreferedOrderCat_Laptop & Accessory,1.212487588037931e-15,0.5529679341384501,0.21392190152801357,0.38686131386861317,14.916322698477638,low in churn
5,SatisfactionScore,2.2080798378657685e-11,1.1343010752688172,3.3870967741935485,2.9860650298606504,10.655985227809822,high in churn
14,PreferredLoginDevice_Mobile Phone,7.694286704766055e-11,0.7144821622001288,0.366723259762309,0.513271400132714,10.113831635032327,low in churn
4,NumberOfDeviceRegistered,1.415000994823846e-10,1.0877390719239597,3.9456706281833616,3.6274054412740546,9.849243254806577,high in churn
24,PreferedOrderCat_Grocery,3.173438754194659e-09,0.17989972410865876,0.015280135823429542,0.08493696084936961,8.498469878938797,low in churn
26,PreferedOrderCat_Mobile,5.079091036982005e-09,1.7282187509799265,0.21731748726655348,0.12574651625746516,8.29421400286256,high in churn
1,CityTier,2.3066403845096546e-07,1.131942860975119,1.8064516129032258,1.5958858659588586,6.63702010864186,high in churn
2,WarehouseToHome,2.0832027262124415e-06,1.114577832438482,17.032258064516128,15.281353682813537,5.68126846476597,high in churn
17,PreferredPaymentMode_COD,2.524048465928124e-06,1.926455607709977,0.10865874363327674,0.05640345056403451,5.59790231017154,high in churn
15,PreferredLoginDevice_Phone,6.171017660172456e-06,1.4214299188832293,0.2801358234295416,0.19708029197080293,5.209643210723116,high in churn
21,PreferredPaymentMode_E wallet,6.538284816792663e-05,1.5843126355666461,0.14770797962648557,0.09323158593231586,4.184536164871095,high in churn
19,PreferredPaymentMode_Credit Card,9.022473493308932e-05,0.7187350322132249,0.19864176570458403,0.27637690776376905,4.044674385159458,low in churn
28,PreferedOrderCat_Others,0.001426083375775927,0.43156667416695643,0.023769100169779286,0.055076310550763105,2.845855082772447,low in churn
13,PreferredLoginDevice_Computer,0.0021055284686483677,1.2192058685678835,0.3531409168081494,0.2896483078964831,2.676638882150005,high in churn
6,NumberOfAddress,0.006301814813945842,1.101332629031855,4.6179966044142615,4.193098871930989,2.2005343632158323,high in churn
16,PreferredPaymentMode_CC,0.035059042791613794,1.4414500585858103,0.06791171477079797,0.047113470471134705,1.4551999455153308,high in churn
10,OrderCount,0.08966745372664249,0.918005491984213,2.711375212224109,2.953550099535501,1.0473651626618166,low in churn
20,PreferredPaymentMode_Debit Card,0.10789194856761425,0.9149330553824332,0.3837011884550085,0.41937624419376246,0.967010963316381,low in churn
3,HourSpendOnApp,0.1440063347261183,1.0170185364948119,2.962648556876061,2.9130723291307232,0.8416184032097054,high in churn
22,PreferredPaymentMode_UPI,0.2653464297386181,0.8315365025466892,0.06621392190152801,0.07962840079628401,0.5761867514687333,low in churn
8,OrderAmountHikeFromlastYear,0.3973159063901609,1.0044374857651552,15.767402376910017,15.697743861977438,0.40086404778331997,high in churn
23,PreferedOrderCat_Fashion,0.6411951429671647,0.9480701216684344,0.13242784380305603,0.13968148639681485,0.19300977607233447,low in churn
18,PreferredPaymentMode_Cash on Delivery,0.9241485045515724,0.9746948015199288,0.027164685908319185,0.027869940278699403,0.03425823492159093,low in churn
9,CouponUsed,0.9245163485836418,1.0056938583228963,1.6943972835314092,1.6848042468480424,0.0340854046379771,high in churn
